researcher_name,employee_id,affiliation,rcard_url,rank,project_id,project_title,project_pi,project_inst,project_keywords,final_score,semantic_score,keyword_score
성낙명 (NakMyoung Sung),10613,자율형IoT연구센터,https://rcard.re.kr/detail/dVqRU4SC-9BOoKUhEZHj2w,4,NRF-000140,PACE: Next-Generation IoT Edge Computing through Efficient Software Programmable Accelerators,MITRA TULIKA,National University of Singapore,IoT; Edge Computing; Low Power; Reconfigurable Computing; Accelerator,0.4094,0.5822,0.0061
성낙명 (NakMyoung Sung),10613,자율형IoT연구센터,https://rcard.re.kr/detail/dVqRU4SC-9BOoKUhEZHj2w,5,MOE-000277,Holistic Allocation of Edge and Wireless Resources for Time-Sensitive IoT Applications,Arvind Easwaran,Nanyang Technological University,Real-time resource provisioning & scheduling; decentralized resource allocation; approximation guarantees for wireless-edge-cloud resource provisioning; building cooling system case study,0.4074,0.5820,0.0000
성낙명 (NakMyoung Sung),10613,자율형IoT연구센터,https://rcard.re.kr/detail/dVqRU4SC-9BOoKUhEZHj2w,6,NRF-000593,Foundational Building Blocks for Next-Generation Magnetic Memories,Anjan Soumyanarayanan,National University of Singapore,"spintronics, magnetism, magnetic tunnel junction, quantum materials, memory",0.4070,0.5814,0.0000
성낙명 (NakMyoung Sung),10613,자율형IoT연구센터,https://rcard.re.kr/detail/dVqRU4SC-9BOoKUhEZHj2w,7,MOE-000255,Versatile Edge-based Facility Management through AI driven Dynamic 5G Network Slicing,David Hee,Singapore Polytechnic,5G; Internet of Things;  Artificial Intelligence; Co-simulation; Network slicing,0.3780,0.5400,0.0000
성낙명 (NakMyoung Sung),10613,자율형IoT연구센터,https://rcard.re.kr/detail/dVqRU4SC-9BOoKUhEZHj2w,8,NRF-000098,SLADE : Smart Learning Analytics for Digital crimE,Loh Kok Keong Peter,Singapore Institute of Technology,"digital crime, machine learning, analytics, investigation",0.3768,0.5384,0.0000
성낙명 (NakMyoung Sung),10613,자율형IoT연구센터,https://rcard.re.kr/detail/dVqRU4SC-9BOoKUhEZHj2w,9,MOE-000625,AI-Generated Content: Economic Impacts and Implications for Policy and Regulation,Goh Khim Yong,National University of Singapore,"Generative AI, Digital Media Content, Digital Labor Platform, Structural Demand and Supply Model, Econometric and Causal Impact Evaluation",0.3679,0.5256,0.0000
성낙명 (NakMyoung Sung),10613,자율형IoT연구센터,https://rcard.re.kr/detail/dVqRU4SC-9BOoKUhEZHj2w,10,NRF-RSS2015-003,Embedded Intelligence in new form factors (EINFF) with ultra-energy efficient CMOS technologies to enable the Smart nation infrastructure,Thean Voon Yew,National University of Singapore,Data Access Contact:,0.3676,0.5252,0.0000
이승주 (Lee Seung Joo),10657,IT융합시스템연구센터,https://rcard.re.kr/detail/y69DJGvhipA8wMOJjodrkg==,1,MOE-000124,Learning Deep Networks on 3D and 4D Point Clouds for Holistic 3D Scene Understanding,Lin Guosheng,Nanyang Technological University,"deep learning, scene understanding, segmentation, point clouds, 3D data",0.4053,0.5773,0.0040
이승주 (Lee Seung Joo),10657,IT융합시스템연구센터,https://rcard.re.kr/detail/y69DJGvhipA8wMOJjodrkg==,2,NRF-000466,TEACHING MACHINES TO SEE OUR 3D WORLD,Lee Gim Hee,National University of Singapore,Computer Vision; Deep Learning; 3D digital modeling; Neural Fields; Out-of-distribution learning; Scene understanding;,0.3993,0.5704,0.0000
이승주 (Lee Seung Joo),10657,IT융합시스템연구센터,https://rcard.re.kr/detail/y69DJGvhipA8wMOJjodrkg==,3,MOE-000808,Intelligent Single Pixel Opto-Spintronic Terahertz Imaging (iSPOT),Rajdeep Singh Rawat,Nanyang Technological University,Spintronic THz Emitter; Electric/magnetic field control of THz spintronic emitter; THz Imaging; Single-Pixel Imaging; Metamaterial THz Imaging,0.3869,0.5528,0.0000
이승주 (Lee Seung Joo),10657,IT융합시스템연구센터,https://rcard.re.kr/detail/y69DJGvhipA8wMOJjodrkg==,4,MOE-000744,Open-World 3D Scene Understanding with Neural Fields,Lee Gim Hee,National University of Singapore,3D Scene Understanding; Neural Radiance Fields; Deep Signed Distance Fields; Open-world;,0.3867,0.5525,0.0000
이승주 (Lee Seung Joo),10657,IT융합시스템연구센터,https://rcard.re.kr/detail/y69DJGvhipA8wMOJjodrkg==,5,MOE-000283,3D Geometry and Semantic Modeling for Human-Scene Interaction,Ziwei Liu,Nanyang Technological University,3D Perception; Geometry Processing; 3D Human Reconstruction; Knowledge Graph,0.3823,0.5461,0.0000
이승주 (Lee Seung Joo),10657,IT융합시스템연구센터,https://rcard.re.kr/detail/y69DJGvhipA8wMOJjodrkg==,6,MOE-000530,Toward Ubiquitous 3D Perception and Recognition via Generation and Adaptation of Point Cloud Data,Lu Shijian,Nanyang Technological University,"Lidar point clouds, point cloud synthesis and generation, photogrammetry, unsupervised domain adaptation, domain generalization, weakly supervised learning",0.3806,0.5437,0.0000
이승주 (Lee Seung Joo),10657,IT융합시스템연구센터,https://rcard.re.kr/detail/y69DJGvhipA8wMOJjodrkg==,7,NRF-000623,From Pixels to Physics: Integrating Physical Properties in 3D Virtual World Creation,Chuanxia Zheng,Nanyang Technological University,3D Reconstruction and Generation; Physical properties; Generative AI,0.3734,0.5334,0.0000
이승주 (Lee Seung Joo),10657,IT융합시스템연구센터,https://rcard.re.kr/detail/y69DJGvhipA8wMOJjodrkg==,8,MOE-000679,"Empowering Real-World 3D Scene Understanding: Navigating Noise, Distribution Shifts, and Incremental Learning",Na Zhao,Singapore University of Technology and Design,3D Scene Understanding; Real World; Noisy Label Learning; Out-of-Distribution Generalization; Incremental Learning,0.3659,0.5227,0.0000
이승주 (Lee Seung Joo),10657,IT융합시스템연구센터,https://rcard.re.kr/detail/y69DJGvhipA8wMOJjodrkg==,9,MOE-000541,"Towards Reliable, Data Efficient, and Privacy-Preserving 3D Human Digitization",Liu Jun,Singapore University of Technology and Design,Computer Vision; Human Digitization; Pose Estimation,0.3564,0.5091,0.0000
이승주 (Lee Seung Joo),10657,IT융합시스템연구센터,https://rcard.re.kr/detail/y69DJGvhipA8wMOJjodrkg==,10,NRF-000469,Geo-referenced Mapping And Positioning System (GMAPS) for Automatic Generation of As-Built Building Information Model (BIM) of Underground Assets,Fong Wee Teck,I2R - Institute for Infocomm Research,"Geospatial, Mixed-Reality, BIM, lidar, RTK, Underground Assets",0.3524,0.5018,0.0040
손예슬 (Son Yeseul),10682,VR·AR연구센터,https://rcard.re.kr/detail/CTbAF+3BsUvzcJm3CD5MMg==,1,NRF-000441,Development of Secured Components & Systems in Emerging Technologies through Hardware & Software Evaluation,Gan Chee Lip,Nanyang Technological University,Hardware Analysis; Side-Channel Analysis; Post-quantum Cryptography; Encrypted Memory; Deep Neural Network (DNN) Accelerators,0.3689,0.5270,0.0000
손예슬 (Son Yeseul),10682,VR·AR연구센터,https://rcard.re.kr/detail/CTbAF+3BsUvzcJm3CD5MMg==,2,NRF-NRFF2016-07,Dimensionality Reduction for Recommender Systems: Unified Latent Co-representation of Multi-Modal Preference Signals,Hady Wirawan Lauw,Singapore Management University,dimensionality reduction;visualization;recommender systems;probabilistic topic modeling;Euclidean embedding;deep learning,0.3657,0.5224,0.0000
손예슬 (Son Yeseul),10682,VR·AR연구센터,https://rcard.re.kr/detail/CTbAF+3BsUvzcJm3CD5MMg==,3,MOE-000750,PROJECT VICTORIA: Versatile Incorporation of C-V2X To Others Relying on Artificial Intelligence,David Hee,Singapore Polytechnic,construction; vehicles; workers; safety; C-V2X; SDR; localisation; ranging; AI; alerts,0.3550,0.5072,0.0000
손예슬 (Son Yeseul),10682,VR·AR연구센터,https://rcard.re.kr/detail/CTbAF+3BsUvzcJm3CD5MMg==,4,MOE-000360,XMM: Towards Explainable Multimodal Deep Learning,Wang Xinchao,National University of Singapore,"Machine Learning, Artificial Intelligence, Computer Vision",0.3470,0.4958,0.0000
손예슬 (Son Yeseul),10682,VR·AR연구센터,https://rcard.re.kr/detail/CTbAF+3BsUvzcJm3CD5MMg==,5,MOE-000150,Interface Controlled 2D Materials for Artificial Synaptic Devices,CHEN WEI,National University of Singapore,"Synapse, Neuromorphic Computing, 2D Materials, Interface Engineering, Optoelectronics",0.3410,0.4872,0.0000
손예슬 (Son Yeseul),10682,VR·AR연구센터,https://rcard.re.kr/detail/CTbAF+3BsUvzcJm3CD5MMg==,6,NRF-000237,Memristive Halide Perovskites for Next Generation Embedded Neuromorphic Computing,Nripan Mathews,Nanyang Technological University,Halide perovskites; memristors; neuromorphic; cognitive surfaces; ionic-electronic coupling,0.3315,0.4736,0.0000
손예슬 (Son Yeseul),10682,VR·AR연구센터,https://rcard.re.kr/detail/CTbAF+3BsUvzcJm3CD5MMg==,7,MOE-000609,Multi-Modal Reimaginative 4D Generation Engine,Ziwei Liu,Nanyang Technological University,Generative AI; 3D/4D Generation; Multi-Modal Learning; Reflectance Modeling; Motion Generation,0.3280,0.4685,0.0000
손예슬 (Son Yeseul),10682,VR·AR연구센터,https://rcard.re.kr/detail/CTbAF+3BsUvzcJm3CD5MMg==,8,NRF-CRP2-2007-03,Theory and Practice of Coding and Cryptography,Ling San,Nanyang Technological University,block codes;quantum codes;space-time codes;public/private key cryptography;hash functions;secure multiparty computation,0.3221,0.4602,0.0000
손예슬 (Son Yeseul),10682,VR·AR연구센터,https://rcard.re.kr/detail/CTbAF+3BsUvzcJm3CD5MMg==,9,MOE-000440,Unleashing the Power of Pre-trained Models for VisualQA: A Skill-based Framework,Ngo Chong Wah,Singapore Management University,Visual question answering; pre-trained models; vision-language understanding; few-shot learning; prompt-based learning,0.3207,0.4581,0.0000
손예슬 (Son Yeseul),10682,VR·AR연구센터,https://rcard.re.kr/detail/CTbAF+3BsUvzcJm3CD5MMg==,10,NRF-000565,Merlin: Development of Robotic Systems for Safe and Efficient Facade Maintenance with Close-Range and 100% Visual Inspection Approaches,Jaime Rubio Hervas,H3 Zoom Pte Ltd,Facade Inspection; Cable-Driven Robotic System; Non-Destructive Testing; Drones; Flight Automation; Machine Learning,0.3203,0.4576,0.0000
박민철 (Min Cheol Park),10888,지능로보틱스연구센터,https://rcard.re.kr/detail/tPfE6Jhu/DK/srG3Z3fIGQ==,1,MOE-000046,Smart Safe and Robust Motion Control for Multi-Robot Systems,Liu Yang,Nanyang Technological University,Multi-Robot Systems; Safety and Security; Motion Control; Cyber Attacks; Robust Control; Machine Learning,0.3633,0.5190,0.0000
박민철 (Min Cheol Park),10888,지능로보틱스연구센터,https://rcard.re.kr/detail/tPfE6Jhu/DK/srG3Z3fIGQ==,2,MOE-000085,A Modular Reconfigurable Intelligent Autonomous Mobile Robotics System (AMRS) for Industry Application and Research Training,Wee Teck Chew,Temasek Polytechnic,"Modular robot, Autonomous robot, Intelligent System, Modular actuator, path planning, Differential Drive, Mecanum Drive, skip drive",0.3540,0.5057,0.0000
박민철 (Min Cheol Park),10888,지능로보틱스연구센터,https://rcard.re.kr/detail/tPfE6Jhu/DK/srG3Z3fIGQ==,3,NRF-000188,Mobile collaborative robot platforms with vision feedback and adaptive and learning soft end-effectors for coning/de-coning wharf operations,Pablo Alvaro Valdivia y Alvarado Gutierrez,Singapore University of Technology and Design,"Automation, Robotics",0.3512,0.5018,0.0000
박민철 (Min Cheol Park),10888,지능로보틱스연구센터,https://rcard.re.kr/detail/tPfE6Jhu/DK/srG3Z3fIGQ==,4,NRF-000565,Merlin: Development of Robotic Systems for Safe and Efficient Facade Maintenance with Close-Range and 100% Visual Inspection Approaches,Jaime Rubio Hervas,H3 Zoom Pte Ltd,Facade Inspection; Cable-Driven Robotic System; Non-Destructive Testing; Drones; Flight Automation; Machine Learning,0.3490,0.4985,0.0000
박민철 (Min Cheol Park),10888,지능로보틱스연구센터,https://rcard.re.kr/detail/tPfE6Jhu/DK/srG3Z3fIGQ==,5,MOE-000410,"Anticipating Robots. 
Improving Human-Robot Communication Using an Artistic Approach.",Bernhard Johannes Schmitt,Nanyang Technological University,Robots; Animation; Communication; Human-Robot-Interaction; Machine-Learning; Automation,0.3454,0.4908,0.0063
박민철 (Min Cheol Park),10888,지능로보틱스연구센터,https://rcard.re.kr/detail/tPfE6Jhu/DK/srG3Z3fIGQ==,6,NRF-000466,TEACHING MACHINES TO SEE OUR 3D WORLD,Lee Gim Hee,National University of Singapore,Computer Vision; Deep Learning; 3D digital modeling; Neural Fields; Out-of-distribution learning; Scene understanding;,0.3454,0.4934,0.0000
박민철 (Min Cheol Park),10888,지능로보틱스연구센터,https://rcard.re.kr/detail/tPfE6Jhu/DK/srG3Z3fIGQ==,7,MOE-000847,Self-Adaptive Planning with Environmental Awareness for Embodied Agents,Bin Zhu,Singapore Management University,Embodied agents; Egocentric video understanding; Large Multimodal Model,0.3453,0.4932,0.0000
박민철 (Min Cheol Park),10888,지능로보틱스연구센터,https://rcard.re.kr/detail/tPfE6Jhu/DK/srG3Z3fIGQ==,8,MOE-000625,AI-Generated Content: Economic Impacts and Implications for Policy and Regulation,Goh Khim Yong,National University of Singapore,"Generative AI, Digital Media Content, Digital Labor Platform, Structural Demand and Supply Model, Econometric and Causal Impact Evaluation",0.3448,0.4926,0.0000
박민철 (Min Cheol Park),10888,지능로보틱스연구센터,https://rcard.re.kr/detail/tPfE6Jhu/DK/srG3Z3fIGQ==,9,MOE-000744,Open-World 3D Scene Understanding with Neural Fields,Lee Gim Hee,National University of Singapore,3D Scene Understanding; Neural Radiance Fields; Deep Signed Distance Fields; Open-world;,0.3445,0.4922,0.0000
박민철 (Min Cheol Park),10888,지능로보틱스연구센터,https://rcard.re.kr/detail/tPfE6Jhu/DK/srG3Z3fIGQ==,10,MOE-000532,Neurosymbolic AI for Commonsense-based Question Answering in Multiple Domains,Erik Cambria,Nanyang Technological University,Commonsense Knowledge Base; Neurosymbolic AI; Question Answering,0.3443,0.4918,0.0000
정은아,10961,자율제조연구센터,https://rcard.re.kr/detail/oA6cXqbwTfKlCMgYZI6/aA==,1,MRC/NIG/0039/2008,Developing a Systemic Lupus Erythematosus-specific Health-Related Quality of Life Item Bank for use among Multi-Ethnic Asian Patients,Wee Hwee Lin,National University of Singapore,"Systemic Lupus Erythematosus, Outcome Assessment, Psychometrics, Quality of Life",0.3597,0.5139,0.0000
정은아,10961,자율제조연구센터,https://rcard.re.kr/detail/oA6cXqbwTfKlCMgYZI6/aA==,2,MOH-001402,Accounting for allosteric effects of mutations in diagnostics and personalised treatment within SG10K project,Igor Berezovsky,BII - Bioinformatics Institute,"Allosteric effects of mutations, diagnostics, SG10K project, K-Ras, allosteric drugs, drug resistance, machine learning (ML)",0.3543,0.5062,0.0000
정은아,10961,자율제조연구센터,https://rcard.re.kr/detail/oA6cXqbwTfKlCMgYZI6/aA==,3,MOH-001155,Clinical relevancy of non-criterion A traumatic events to mental health and clinical utility of transdiagnostic affective factors in identifying subgroups of trauma-exposed patients with severe mental illness,Liu Jianlin,Institute of Mental Health,transdiagnostic; trauma; PTSD; severe mental illness; mood disorders; schizophrenia spectrum disorders,0.3526,0.5036,0.0000
정은아,10961,자율제조연구센터,https://rcard.re.kr/detail/oA6cXqbwTfKlCMgYZI6/aA==,4,MOH-001594,SURE-TREAT: Singapore Undiagnosed Research Endeavour: identification and TREATment of splicing variants in patients with neurodevelopmental disorders,Saumya Shekhar Jamuar,KK Women's & Children's Hospital,"genomics, therapeutics, antisense oligonucleotides, precision therapeutics",0.3517,0.5025,0.0000
정은아,10961,자율제조연구센터,https://rcard.re.kr/detail/oA6cXqbwTfKlCMgYZI6/aA==,5,MOH-001273,Precision BRAin COnnectivity Profiling of Learning Difficulties (BRACO-LD),Tan Ai Peng,National University of Singapore,brain connectivity; learning difficulties; magnetic resonance imaging,0.3502,0.5003,0.0000
정은아,10961,자율제조연구센터,https://rcard.re.kr/detail/oA6cXqbwTfKlCMgYZI6/aA==,6,RC/CIRG/1446/2016,Etiology of Cortical Cerebral Microinfarcts and Impact on Brain Function and Long Term Outcomes,Christopher Chen,National University Health System,"Cortical cerebral microinfarcts, Cerebrovascular diseases, Cognitive impairment, Dementia, Magnetic Resonance Imaging",0.3489,0.4985,0.0000
정은아,10961,자율제조연구센터,https://rcard.re.kr/detail/oA6cXqbwTfKlCMgYZI6/aA==,7,MOH-001057,"Discordant symptom burden and severity grading in dermatology, a mixed-methods sequential exploratory study",Choi Ci En Ellie,National University Hospital (NUH),discordant severity grading; patient outcome measures; perceived severity; patient satisfaction; physician burnout; objective grading,0.3488,0.4983,0.0000
정은아,10961,자율제조연구센터,https://rcard.re.kr/detail/oA6cXqbwTfKlCMgYZI6/aA==,8,MOH-001814,Development and Testing of a Digital Psychological Toolkit to improve Symptom Burden in Dermatology Patients,Choi Ci En Ellie,National University Hospital (NUH),behavioural health; patient-reported outcomes; implementational science; health economics evaluation; mixed method; psychodermatology,0.3476,0.4966,0.0000
정은아,10961,자율제조연구센터,https://rcard.re.kr/detail/oA6cXqbwTfKlCMgYZI6/aA==,9,NRF-000538,An Integrated Multimodal Quantification Method to Designing Landscapes for Well-being,"Lin Shengwei, Ervine",National University of Singapore,"Landscape Metrics, Well-being, EEG",0.3392,0.4846,0.0000
정은아,10961,자율제조연구센터,https://rcard.re.kr/detail/oA6cXqbwTfKlCMgYZI6/aA==,10,MOE-000664,RISE-M: Regulation Competencies for At-rISk Adolescents: Social Well-bEing & Neurophysiological Markers,Azilawati Jamaludin,Nanyang Technological University,Metacognitive Regulation; Emotional Regulation; Social Regulation; Science of Learning,0.3391,0.4845,0.0000
백나래 (Na Rae Baek),10964,IT응용연구센터,https://rcard.re.kr/detail/aj0A93tp5aiKVsxF1/TnPw==,1,NRF-000387,"What AI cannot do but humans can: 
Closing gaps in visual search efficiency between AIs and humans with neuroscience-inspired approaches",Mengmi Zhang,Nanyang Technological University,computational neuroscience; computer vision; visual search; top-down modulation; AI; memory,0.4588,0.5483,0.2500
백나래 (Na Rae Baek),10964,IT응용연구센터,https://rcard.re.kr/detail/aj0A93tp5aiKVsxF1/TnPw==,2,NRF-000188,Mobile collaborative robot platforms with vision feedback and adaptive and learning soft end-effectors for coning/de-coning wharf operations,Pablo Alvaro Valdivia y Alvarado Gutierrez,Singapore University of Technology and Design,"Automation, Robotics",0.4561,0.5658,0.2000
백나래 (Na Rae Baek),10964,IT응용연구센터,https://rcard.re.kr/detail/aj0A93tp5aiKVsxF1/TnPw==,3,NRF-000466,TEACHING MACHINES TO SEE OUR 3D WORLD,Lee Gim Hee,National University of Singapore,Computer Vision; Deep Learning; 3D digital modeling; Neural Fields; Out-of-distribution learning; Scene understanding;,0.4352,0.5742,0.1111
백나래 (Na Rae Baek),10964,IT응용연구센터,https://rcard.re.kr/detail/aj0A93tp5aiKVsxF1/TnPw==,4,MOE-000434,Egocentric Vision-based Activity Analysis in the Wild,Liu Jun,Singapore University of Technology and Design,Computer Vision; Action Recognition; Video Analysis,0.4240,0.5343,0.1667
백나래 (Na Rae Baek),10964,IT응용연구센터,https://rcard.re.kr/detail/aj0A93tp5aiKVsxF1/TnPw==,5,MOE-000020,Enabling Synaptic Logic Transistors by Gate-Dielectric Defect Characterization,ANG Diing Shenp,Nanyang Technological University,Neuromorphic computing; artificial synapse; dielectric defect relaxation; atomic-scale characterization,0.4149,0.5928,0.0000
백나래 (Na Rae Baek),10964,IT응용연구센터,https://rcard.re.kr/detail/aj0A93tp5aiKVsxF1/TnPw==,6,NRF-000051,Spin Orbit Coupling based IntelligencE TechnologY (SOCIETY),Seidikkurippu Nellainayagam Piramanayagam,Nanyang Technological University,Neuromorphic computing; Spin-Orbit coupling; Spin Hall Effect; Domain wall memory; synaptic devices; synthetic neurons,0.4128,0.5897,0.0000
백나래 (Na Rae Baek),10964,IT응용연구센터,https://rcard.re.kr/detail/aj0A93tp5aiKVsxF1/TnPw==,7,MOE-000270,Investigating the Psychology of Consumer–AI Interaction for the Design and Development of AI-based Products and Services,Hannah H. Chang,Singapore Management University,consumer psychology; consumer behaviour; artificial intelligence (AI); virtual assistants; product recommendations; technology adoption,0.4118,0.5883,0.0000
백나래 (Na Rae Baek),10964,IT응용연구센터,https://rcard.re.kr/detail/aj0A93tp5aiKVsxF1/TnPw==,8,MOE-000672,"Energy-Optimized, Situated Instruction Comprehension for Pervasive Assistive Agents",Archan MISRA,Singapore Management University,Human-AI Synergy; Interactive Agents; Human-Instruction Comprehension; Spatial Sensing; Wearable Computing,0.4113,0.5876,0.0000
백나래 (Na Rae Baek),10964,IT응용연구센터,https://rcard.re.kr/detail/aj0A93tp5aiKVsxF1/TnPw==,9,NRF-000077,Towards Building Trustworthy and Robust Intelligent Systems and its Application on Human Brain,Liu Yang,Nanyang Technological University,Deep Learning Security; Security and Robustness of Artificial Intelligence,0.4091,0.5844,0.0000
백나래 (Na Rae Baek),10964,IT응용연구센터,https://rcard.re.kr/detail/aj0A93tp5aiKVsxF1/TnPw==,10,MOE-000541,"Towards Reliable, Data Efficient, and Privacy-Preserving 3D Human Digitization",Liu Jun,Singapore University of Technology and Design,Computer Vision; Human Digitization; Pose Estimation,0.4088,0.5126,0.1667
서지혜 (Jihye Seo),10958,융복합전자소재연구센터,https://rcard.re.kr/detail/57WSqylagphfFxySLGlqxQ==,1,NRF-000137,Rigorous AI using Game Theory and Statistics,Ioannis Panageas,Singapore University of Technology and Design,Deep Learning; Gradient Descent; Regression; Optimization; Online Learning; Game Theory,0.4837,0.6521,0.0909
서지혜 (Jihye Seo),10958,융복합전자소재연구센터,https://rcard.re.kr/detail/57WSqylagphfFxySLGlqxQ==,2,MOE-000232,A Framework for Intellectual Property Protection of Deep Learning Applications,Tianwei Zhang,Nanyang Technological University,Deep Learning; Deep Neural Network; Watermarking; Intellectual Property; Ownership Verification,0.4624,0.6177,0.1000
서지혜 (Jihye Seo),10958,융복합전자소재연구센터,https://rcard.re.kr/detail/57WSqylagphfFxySLGlqxQ==,3,NRF-000066,ALIAS - Adaptive Learning for Interactive Agents and Systems,Georgios Piliouras,Singapore University of Technology and Design,game theory; online learning; equilibria; dynamical systems; machine learning,0.4440,0.5914,0.1000
서지혜 (Jihye Seo),10958,융복합전자소재연구센터,https://rcard.re.kr/detail/57WSqylagphfFxySLGlqxQ==,4,MOE-000622,Comprehensive Privacy Auditing in Machine Learning,Reza Shokri,National University of Singapore,Responsible AI; Privacy; Machine learning; Information leakage; Membership inference attacks; Explainability,0.4391,0.5884,0.0909
서지혜 (Jihye Seo),10958,융복합전자소재연구센터,https://rcard.re.kr/detail/57WSqylagphfFxySLGlqxQ==,5,NRF-000098,SLADE : Smart Learning Analytics for Digital crimE,Loh Kok Keong Peter,Singapore Institute of Technology,"digital crime, machine learning, analytics, investigation",0.4292,0.5656,0.1111
서지혜 (Jihye Seo),10958,융복합전자소재연구센터,https://rcard.re.kr/detail/57WSqylagphfFxySLGlqxQ==,6,MOE-000264,Artificial Intelligence in Augmenting Medical Information Dimensionality: The Future of Work in the Medical Profession,Goh Kim Huat,Nanyang Technological University,AI augmentation; healthcare expertise; future of work; cancer; ventilator; teams,0.4289,0.6127,0.0000
